ticker,name,type,sector,article_date,article_headline,label
EFSC,Enterprise Financial Services Corp,EQUITY,Financial Services,2012-01-25,"Enterprise Financial Halted, Pending News",neutral
BLRX,BioLineRx Ltd.,EQUITY,Healthcare,2012-01-25,"Benzinga's Microcap Movers for Tuesday January 24, 2012",neutral
BIDU,"Baidu, Inc.",EQUITY,Communication Services,2012-01-26,Baidu SP Trading 1.2% Higher on Heavy Volume; Currently at $126.57,mildly bullish
ADP,"Automatic Data Processing, Inc.",EQUITY,Industrials,2012-01-26,UPDATE: Goldman Sachs Raises PT to $53 on Automatic Data Processing,mildly bullish
ADP,"Automatic Data Processing, Inc.",EQUITY,Industrials,2012-01-26,Citigroup Downgrades Automatic Data Processing to Neutral,mildly bearish
CMCO,Columbus McKinnon Corporation,EQUITY,Industrials,2012-01-27,Columbus McKinnon/NY Reports Q3 EPS $0.33 vs $0.24 Est; Revenues $142.80M vs $139.80M Est	 	,mildly bullish
BBSI,"Barrett Business Services, Inc.",EQUITY,Industrials,2012-01-31,Barrett Business Services Responds to Statements by Sherertz Group ,neutral
BIIB,Biogen Inc.,EQUITY,Healthcare,2012-01-31,Biogen Guides FY2012 EPS $6.10-6.20 vs $6.31 Est,mildly bearish
CME,CME Group Inc.,EQUITY,Financial Services,2012-01-31,"ISI Group downgrades NYX, CME to Hold",mildly bearish
CAC,Camden National Corporation,EQUITY,Financial Services,2012-01-31,Camden National Corp Reports Quarter EPS $0.76,mildly bullish
CME,CME Group Inc.,EQUITY,Financial Services,2012-01-31,UPDATE: JP Morgan Lowers Target to $268 on CME Group,mildly bearish
BYFC,Broadway Financial Corporation,EQUITY,Financial Services,2012-02-01,Broadway Federal Bank Announces Leadership Transition; Promotes Wayne Bradshaw to CEO,mildly bullish
COHU,"Cohu, Inc.",EQUITY,Technology,2012-02-01,Cohu Reports Q4 EPS $0.12 vs $0.05 Est; Revenues $66.60M vs $65.00M Est	 				,mildly bullish
ALGT,Allegiant Travel Company,EQUITY,Industrials,2012-02-01,Allegiant Travel Guides Q1 System Capacity Growth Up 19-23%; Q2 Up 25-29%,mildly bullish
BIIB,Biogen Inc.,EQUITY,Healthcare,2012-02-02,Biogen Idec Hits 52-Week High of $122.84,mildly bullish
EXTR,"Extreme Networks, Inc.",EQUITY,Technology,2012-02-02,Extreme Networks Guides Q3 EPS $0.06-0.08 vs $0.08 Est,mildly bearish
EXTR,"Extreme Networks, Inc.",EQUITY,Technology,2012-02-02,Extreme Networks Reports Q2 EPS $0.06 vs $0.07 Est; Revenues $82.80M vs $83.49M Est			 ,mildly bearish
EA,Electronic Arts Inc.,EQUITY,Communication Services,2012-02-02,Is Apple Making a PlayStation 4 Killer?,neutral
EA,Electronic Arts Inc.,EQUITY,Communication Services,2012-02-02,Why You Should Not Buy into Zynga's Rally,strongly bearish
BEBE,"bebe stores, inc.",EQUITY,Industrials,2012-02-02,Earnings Scheduled For February 2,neutral
DVAX,Dynavax Technologies Corporation,EQUITY,Healthcare,2012-02-03,Dynavax Technologiesoration Hits 52-Week High of $4.26,mildly bullish
ENSG,"The Ensign Group, Inc.",EQUITY,Healthcare,2012-02-03,The Ensign Group Acquires Reno Assisted Living Facility  ,mildly bullish
EA,Electronic Arts Inc.,EQUITY,Communication Services,2012-02-03,When Will Zynga Stop Riding on the Success of Others?,mildly bearish
COLM,Columbia Sportswear Company,EQUITY,Consumer Cyclical,2012-02-03,Bank of America Lowers PO on Columbia Sportswear to $55,mildly bearish
BIDU,"Baidu, Inc.",EQUITY,Communication Services,2012-02-03,Baidu Trading 3.5% Higher on Heavy Volume; Currently at $135.32,mildly bullish
BLRX,BioLineRx Ltd.,EQUITY,Healthcare,2012-02-06,"Financial Breakfast: Morning News Summary for February 06, 2012",neutral
ENTG,"Entegris, Inc.",EQUITY,Technology,2012-02-06,Weekly Traders Homework:  Bullish Optimism Reaching Critical Levels (w/ Economic Calendar & Stock Radar),mildly bullish
EBAY,eBay Inc.,EQUITY,Consumer Cyclical,2012-02-06,"Option Alert: eBay July 36 Call; Block Trade, 9,000 Contracts",neutral
DOX,Amdocs Limited,EQUITY,Technology,2012-02-06,Oppenheimer: Weekly Software Musings Update,neutral
BLRX,BioLineRx Ltd.,EQUITY,Healthcare,2012-02-07,Thinly Traded BioLineRx Shares Move on Hepatitis C Deal,mildly bullish
ATRO,Astronics Corporation,EQUITY,Industrials,2012-02-07,UPDATE: Auriga Raises Astronics' PT Following a Stellar 4Q,mildly bullish
ALLT,Allot Ltd.,EQUITY,Technology,2012-02-07,Wedbush Securities Raises PT on Allot Communications from $20 to $21,mildly bullish
CNSL,"Consolidated Communications Holdings, Inc.",EQUITY,Communication Services,2012-02-08,"DA Davidson Upgrades Consolidated Communications Holdings from Underperform to Neutral, Raises PT from $15.5 to $19",mildly bullish
BIDU,"Baidu, Inc.",EQUITY,Communication Services,2012-02-08,Asian Stocks Surge Higher on Greek Hopes,mildly bullish
AGNC,AGNC Investment Corp.,EQUITY,Real Estate,2012-02-08,UPDATE: Jefferies Raises Target to $32 on American Capital,mildly bullish
ASTC,Astrotech Corporation,EQUITY,Industrials,2012-02-08,Astrogenetix and NASA Sign Agreement to Continue Developing Medicines in Space,mildly bullish
CTSH,Cognizant Technology Solutions Corporation,EQUITY,Technology,2012-02-08,Cognizant Technology Solutions Reports Q4 EPS $0.84 vs $0.77 Est; Revenues $1.66B vs $1.67B Est	 	,mildly bullish
CDNS,"Cadence Design Systems, Inc.",EQUITY,Technology,2012-02-09,Cadence Design Systems Hits 52-Week High of $11.85,mildly bullish
FEIM,"Frequency Electronics, Inc.",EQUITY,Technology,2012-02-13,Frequency Electronics to Acquire 100% Ownership of Elcom Technologies,mildly bullish
ACTG,Acacia Research Corporation,EQUITY,Industrials,2012-02-14,"Acacia Subsidiary Acquires over 300 Patents for Automotive Safety, Navigation and Diagnostics Technologies ",mildly bullish
CLNE,Clean Energy Fuels Corp.,EQUITY,Energy,2012-02-14,Clean Energy Fuels Spiking Lower on Heavy Volume; Currently at $16.97,mildly bearish
EQIX,"Equinix, Inc.",EQUITY,Real Estate,2012-02-15,Equinix Reports Q4 EPS $0.35 vs $0.44 Est; Revenues $431.30M vs $429.84M Est	 			,mildly bearish
BMRN,BioMarin Pharmaceutical Inc.,EQUITY,Healthcare,2012-02-16,BioMarin Guides $255-265M for R&D in 2012,mildly bullish
EBAY,eBay Inc.,EQUITY,Consumer Cyclical,2012-02-16,Campaign Finance: The Eccentric Billionaire Effect,neutral
ACGL,Arch Capital Group Ltd.,EQUITY,Financial Services,2012-02-16,"Evercore Partners Maintains Arch Capital Group at Overweight, Raises PT from $41 to $43",mildly bullish
DENN,Denny's Corporation,EQUITY,Consumer Cyclical,2012-02-16,UPDATE: Feltl and Company Downgrades Denny's to Buy,mildly bullish
CORT,Corcept Therapeutics Incorporated,EQUITY,Healthcare,2012-02-17,PREVIEW: Corcept Therapeutics to Resume Trading at 6:40pm,neutral
EXPD,"Expeditors International of Washington, Inc.",EQUITY,Industrials,2012-02-21,Expeditors International Washi Reports Q4 Prelim EPS $0.43 vs $0.47 Est; Revenues $1.5B vs $1.59B Est	 	,mildly bearish
CSIQ,Canadian Solar Inc.,EQUITY,Technology,2012-02-21,Canadian Solar Raises Fourth Quarter 2011 Shipment Guidance to 430 MW to 440 MW,mildly bullish
CORT,Corcept Therapeutics Incorporated,EQUITY,Healthcare,2012-02-21,Corcept Therapeutics Pops 61% After Friday's FDA Approval,strongly bullish
AEIS,"Advanced Energy Industries, Inc.",EQUITY,Industrials,2012-02-21,Benzinga's Top Upgrades,neutral
ADSK,"Autodesk, Inc.",EQUITY,Technology,2012-02-21,Benzinga's Top Pre-Market Losers,mildly bearish
AEIS,"Advanced Energy Industries, Inc.",EQUITY,Industrials,2012-02-21,"Citigroup Upgrades Advanced Energy Industries from Neutral to Buy, Raises PT from $10 to $16.5",mildly bullish
CAKE,The Cheesecake Factory Incorporated,EQUITY,Consumer Cyclical,2012-02-21,Cheesecake Factory Guides Q1 EPS $0.34-0.36 vs $0.40 Est; Revenue $435-440M vs $443.83M Est,mildly bearish
BIDU,"Baidu, Inc.",EQUITY,Communication Services,2012-02-21,"Benzinga's Top ETF Decliners, February 21st",neutral
FCEL,"FuelCell Energy, Inc.",EQUITY,Industrials,2012-02-21,Weekly Traders Homework: Contrarian Indicators Flashing (w/ Economic Calendar and Stock Radar),neutral
CDNS,"Cadence Design Systems, Inc.",EQUITY,Technology,2012-02-21,Weekly Traders Homework: Contrarian Indicators Flashing (w/ Economic Calendar and Stock Radar),neutral
CAKE,The Cheesecake Factory Incorporated,EQUITY,Consumer Cyclical,2012-02-22,"Oppenheimer: Cheesecake Factory's Sales Trends Solid, Flow-Through Limited",mildly bullish
EBAY,eBay Inc.,EQUITY,Consumer Cyclical,2012-02-22,Top 4 NASDAQ Stocks In The Catalog & Mail Order Houses Industry With The Lowest PEG Ratio,mildly bullish
FCEL,"FuelCell Energy, Inc.",EQUITY,Industrials,2012-02-22,Notable Call Options Activity in FuelCell Energy,mildly bullish
CCOI,"Cogent Communications Holdings, Inc.",EQUITY,Communication Services,2012-02-22,Citi: Cogent's 4Q Shows Solid Margin Expansion ,mildly bullish
DLTR,"Dollar Tree, Inc.",EQUITY,Consumer Defensive,2012-02-22,Dollar Tree Reports Q4 EPS $1.6 vs $1.59 Est; Revenues $1.95B vs $1.93B Est,mildly bullish
CSIQ,Canadian Solar Inc.,EQUITY,Technology,2012-02-22,From Earlier: Canadian Solar Announces Sponsorship of NHL's Los Angeles Kings  ,mildly bullish
AVGO,Broadcom Inc.,EQUITY,Technology,2012-02-23,UPDATE: Deutsche Bank Raises Target on Avago Technologies to $41,mildly bullish
ADI,"Analog Devices, Inc.",EQUITY,Technology,2012-02-23,"Sterne Agee Maintains Buy, $42 Target on Analog Devices",mildly bullish
ADI,"Analog Devices, Inc.",EQUITY,Technology,2012-02-23,US Stock Futures Up; All Eyes On Jobless Claims Data,mildly bullish
ACIW,"ACI Worldwide, Inc.",EQUITY,Technology,2012-02-23,"Option Alert: ACI Worldwide March 40 Call; Block Trade, 10,000 Contracts",mildly bullish
DXCM,"DexCom, Inc.",EQUITY,Healthcare,2012-02-23,DexCom Reports Q4 EPS $(0.18) vs $(0.17) Est; Revenues $22.40M vs $21.63M Est	 				,mildly bullish
AVAV,"AeroVironment, Inc.",EQUITY,Industrials,2012-02-24,Mitsubishi Motors North America Adds AeroVironment's Turnkey Electric Vehicle Charging Station and Installation Solution to its Integrated EV Offering   ,mildly bullish
CLNE,Clean Energy Fuels Corp.,EQUITY,Energy,2012-02-24,"Clean Energy Fuels CEO Littlefair: 'In the 1970's Trucks Went from Gasoline to Diesel Fuel, Same Economics We Have Today'",mildly bullish
ALIM,"Alimera Sciences, Inc.",EQUITY,Healthcare,2012-02-27,Alimera Sciences Trading 29.8% Higher on Heavy Volume; Currently at $2.22,mildly bullish
EBAY,eBay Inc.,EQUITY,Consumer Cyclical,2012-02-27,Ebay CEO: $1 for every $10 are Bought Through Mobile App -CNBC,mildly bullish
ERIC,Telefonaktiebolaget LM Ericsson (publ),EQUITY,Technology,2012-02-27,"Ericsson Unveils New Products, Partnerships and Increased Market Share at mwc 2012  ",mildly bullish
ALIM,"Alimera Sciences, Inc.",EQUITY,Healthcare,2012-02-28,"Financial Breakfast: Morning News Summary for February 28, 2012",neutral
ATRC,"AtriCure, Inc.",EQUITY,Healthcare,2012-02-28,"Piper Jaffray Upgrades AtriCure from Neutral to Overweight, Raises PT from $11 to $14",mildly bullish
FCEL,"FuelCell Energy, Inc.",EQUITY,Industrials,2012-02-28,FuelCell Energy Announces Signing of a Long Term Service Agreement with a California Utility for a Stationary Fuel Cell Power Plant,mildly bullish
CECO,CECO Environmental Corp.,EQUITY,Industrials,2012-02-28,House Votes to Ease Restrictions on For-Profit Colleges,mildly bullish
ALIM,"Alimera Sciences, Inc.",EQUITY,Healthcare,2012-02-28,"Benzinga's Microcap Movers for Monday February 27, 2012",neutral
DRRX,DURECT Corporation,EQUITY,Healthcare,2012-03-01,Durect Says Pfizer Ending Licese Pact,mildly bearish
ADP,"Automatic Data Processing, Inc.",EQUITY,Industrials,2012-03-01,"UBS Initiates Coverage on Automatic Data Processing at Buy, Announces PT of $63",mildly bullish
ADTN,"ADTRAN Holdings, Inc.",EQUITY,Technology,2012-03-01,Benzinga's Top Downgrades,neutral
CME,CME Group Inc.,EQUITY,Financial Services,2012-03-02,"Stifel Nicolaus Maintains CME Group at Buy, Raises PT from $295 to $320",mildly bullish
CME,CME Group Inc.,EQUITY,Financial Services,2012-03-02,UPDATE: Stifel Nicolaus Increases Target to $320 on CME Group,mildly bullish
COKE,"Coca-Cola Consolidated, Inc.",EQUITY,Consumer Defensive,2012-03-04,Earnings Expectations for the Week of March 5,neutral
ATSG,"Air Transport Services Group, Inc.",EQUITY,Industrials,2012-03-05,Air Transport Reports Q4 EPS $0.21 vs $0.20 Est; Revenue $166.5M vs $180.7M Est,mildly bearish
ENSG,"The Ensign Group, Inc.",EQUITY,Healthcare,2012-03-05,Market Update,neutral
AGNC,AGNC Investment Corp.,EQUITY,Real Estate,2012-03-05,"Morning Social Media Outlook for Mon Mar 5 (LNKD, C, A, AGNC)",neutral
CVGW,"Calavo Growers, Inc.",EQUITY,Consumer Defensive,2012-03-05,Calavo Growers Reports Q1 EPS $0.18 vs $0.25 Est,mildly bearish
AVAV,"AeroVironment, Inc.",EQUITY,Industrials,2012-03-06,PREVIEW: Aerovironment to Resume Trading at 4:30pm,neutral
COKE,"Coca-Cola Consolidated, Inc.",EQUITY,Consumer Defensive,2012-03-06,Coca-Cola Bottling Earnings Preview: Double-Digit EPS Growth Expected,mildly bullish
CSIQ,Canadian Solar Inc.,EQUITY,Technology,2012-03-07,Canadian Solar Posts Q4 Loss,mildly bearish
ADBE,Adobe Inc.,EQUITY,Technology,2012-03-07,Adobe Entered Into 5-Year Credit Pact for $1B; May Request Up to Added $500M in Commitments,mildly bullish
EBAY,eBay Inc.,EQUITY,Consumer Cyclical,2012-03-07,Best Hedge Funds in 2012,neutral
CRUS,"Cirrus Logic, Inc.",EQUITY,Technology,2012-03-07,"Trading Apple's Suppliers (BRCM, QCOM, SWKS, OVTI, NEON)",neutral
EA,Electronic Arts Inc.,EQUITY,Communication Services,2012-03-08,Electronic Arts Presenting at Wedbush Conference: 1.7M Active Subscribers for 'Star Wars: The Old Republic',mildly bullish
CCIH,ChinaCache International Holdings Ltd.,MUTUALFUND,,2012-03-08,"Oppenheimer Maintains ChinaCache International at Outperform, Lowers PT from $15 to $12.5",mildly bullish
EA,Electronic Arts Inc.,EQUITY,Communication Services,2012-03-08,Electronic Arts to Re-Launch Sim City in 3D,mildly bullish
AVGO,Broadcom Inc.,EQUITY,Technology,2012-03-08,Avago Technologies Announces $0.13 Interim Dividend   ,mildly bullish
CAC,Camden National Corporation,EQUITY,Financial Services,2012-03-08,Greece Debt Swap Deadline Nears,neutral
CASS,"Cass Information Systems, Inc.",EQUITY,Industrials,2012-03-08,Jamba Juice Brightens Outlook for My Portfolio,mildly bullish
CARZ,First Trust S-Network Future Vehicles & Technology ETF,ETF,,2012-03-08,"Time to Consider Auto ETFs as Sales Rise? (F, GM, VROM)",mildly bullish
BSPM,"Biostar Pharmaceuticals, Inc.",EQUITY,Healthcare,2012-03-09,Biostar Pharmaceuticals New Promo Pick by Jonathan Lebed,strongly bearish
CAC,Camden National Corporation,EQUITY,Financial Services,2012-03-09,Fixed Markets Friday: Greece All Better – Next!,mildly bullish
FCEL,"FuelCell Energy, Inc.",EQUITY,Industrials,2012-03-12,US Stock Futures Slightly Down; Crude Oil Declines,mildly bearish
FCEL,"FuelCell Energy, Inc.",EQUITY,Industrials,2012-03-12,Fuel Cell to Appear on CNBC Later Today,neutral
FCEL,"FuelCell Energy, Inc.",EQUITY,Industrials,2012-03-12,Hearing Ardour Upgrades FuellCell Energy from Accumulate to Buy,mildly bullish
FCEL,"FuelCell Energy, Inc.",EQUITY,Industrials,2012-03-12,A Peek Into The Market Before The Trading Starts,neutral
EEFT,"Euronet Worldwide, Inc.",EQUITY,Technology,2012-03-13,Ria Financial Services Announces Expansion in Mexico with Partner Grupo Elektra,mildly bullish
CLNE,Clean Energy Fuels Corp.,EQUITY,Energy,2012-03-13,"Clean Energy Fuels CEO Littlefair: 'It's Unfortunate, We Needed Just 60 Votes for the Bill to Pass and We DIdn't Get Those'",mildly bearish
CLNE,Clean Energy Fuels Corp.,EQUITY,Energy,2012-03-13,Clean Energy Fuels CEO Littlefair: 'This Was Really The Only US Energy Policy That Would Have Got US Off Foreign Oil',mildly bullish
ERII,"Energy Recovery, Inc.",EQUITY,Industrials,2012-03-13,Hearing Wedbush Upgrades Energy Recovery from Underperform to Neutral,mildly bullish
BWEN,"Broadwind, Inc.",EQUITY,Industrials,2012-03-13,Benzinga's Top Pre-Market Losers,mildly bearish
AGNC,AGNC Investment Corp.,EQUITY,Real Estate,2012-03-14,"Guggenheim Maintains American Capital Agency at Neutral, Raises PT from $27 to $28",mildly bullish
ACAD,ACADIA Pharmaceuticals Inc.,EQUITY,Healthcare,2012-03-14,"Benzinga's Microcap Movers for Tuesday March 13, 2012",neutral
EBAY,eBay Inc.,EQUITY,Consumer Cyclical,2012-03-15,Benzinga's Top Downgrades,neutral
EBAY,eBay Inc.,EQUITY,Consumer Cyclical,2012-03-15,Benzinga's Top Downgrades,neutral
ADTN,"ADTRAN Holdings, Inc.",EQUITY,Technology,2012-03-15,Adtran Lowers Q4 Sales Forecast,mildly bearish
EBAY,eBay Inc.,EQUITY,Consumer Cyclical,2012-03-15,Benzinga's Top Downgrades,neutral
BEBE,"bebe stores, inc.",EQUITY,Industrials,2012-03-15,UPDATE: Wedbush Increases PT to $11 on Bebe Stores,mildly bullish
EBAY,eBay Inc.,EQUITY,Consumer Cyclical,2012-03-16,"iPad Launch Brings Long Lines, Plenty of Stock",mildly bullish
ERIC,Telefonaktiebolaget LM Ericsson (publ),EQUITY,Technology,2012-03-16,"iPad Launch Brings Long Lines, Plenty of Stock",neutral
ADBE,Adobe Inc.,EQUITY,Technology,2012-03-16,"Deutsche Bank Maintains Adobe Systems at Buy, Raises PT from $35 to $40",mildly bullish
ADTN,"ADTRAN Holdings, Inc.",EQUITY,Technology,2012-03-16,"Bank of America Maintains Adtran at Buy, Lowers PO from $40 to $36",mildly bullish
